Date,Open,High,Low,Close,Adj Close,Volume
21-10-2020,875385.4375,971858.125,874730.875,945436.75,945436.75,3.20078E+12
22-10-2020,943810.8125,969913.375,937535.9375,955938.875,955938.875,2.56053E+12
23-10-2020,956355.9375,958655.4375,941559.1875,954789.1875,954789.1875,2.13934E+12
24-10-2020,954791.75,970554.8125,951408.125,967822.6875,967822.6875,1.81206E+12
25-10-2020,967822.6875,984149,953203.375,962171.1875,962171.1875,1.80211E+12
26-10-2020,962173.1875,978685.3125,948453,966898.375,966898.375,2.17864E+12
27-10-2020,966898,1015658.938,965728.0625,1007752.875,1007752.875,2.49092E+12
28-10-2020,1007752.563,1019734.375,957976.625,984616.5625,984616.5625,2.66105E+12
29-10-2020,984617.5625,1012870.438,966485.5,998199.5625,998199.5625,4.19692E+12
30-10-2020,998198.8125,1016995.625,980091.75,1010758.25,1010758.25,2.2818E+12
31-10-2020,1010759.063,1046699.188,1004118.188,1028253.188,1028253.188,2.26128E+12
01-11-2020,1028253.188,1034299.813,1016865.875,1025276.063,1025276.063,1.82513E+12
02-11-2020,1025270.25,1031586.063,986205.625,1008973.5,1008973.5,2.29125E+12
03-11-2020,1008970.625,1044144.625,991763.875,1041555.25,1041555.25,2.23015E+12
04-11-2020,1041569.25,1056543.875,1016294.625,1048590.375,1048590.375,2.60531E+12
05-11-2020,1048592.375,1164434.25,1046237.5,1155050.875,1155050.875,3.02899E+12
06-11-2020,1155042,1176536.375,1126938.375,1151581.75,1151581.75,2.94725E+12
07-11-2020,1151581.75,1164248.375,1067045.125,1097418.25,1097418.25,2.59119E+12
08-11-2020,1097418.125,1156867,1090786.25,1145147.375,1145147.375,1.97019E+12
09-11-2020,1145149.5,1167243.875,1101734.75,1133938.25,1133938.25,2.52558E+12
10-11-2020,1133940.75,1145966.25,1124124.875,1135889.25,1135889.25,1.89984E+12
11-11-2020,1135889.75,1185911.125,1135822.75,1170436.875,1170436.875,2.21934E+12
12-11-2020,1170433.75,1217627.5,1159283.125,1218894.75,1218894.75,2.55934E+12
13-11-2020,1218901.875,1229186.25,1191920.875,1216295.125,1216295.125,2.35536E+12
14-11-2020,1216295.125,1216295.125,1173911.75,1197685.375,1197685.375,2.04843E+12
15-11-2020,1197685.375,1201782.75,1177216.875,1189296,1189296,1.76311E+12
16-11-2020,1189295.25,1249956.125,1184542.625,1243985.5,1243985.5,2.34617E+12
17-11-2020,1241721.625,1323503.75,1232982.75,1315554.25,1315554.25,2.90816E+12
18-11-2020,1315538.125,1370303.875,1285986.75,1321773.875,1321773.875,3.64258E+12
19-11-2020,1321763.125,1343927.625,1290906.875,1320301.625,1320301.625,2.74071E+12
20-11-2020,1320301.125,1391527.125,1316624,1381006,1381006,2.74349E+12
21-11-2020,1381006.125,1404390,1367882.5,1382557.375,1382557.375,2.94056E+12
22-11-2020,1382557.375,1386023.5,1310556.75,1362157.375,1362157.375,3.06099E+12
23-11-2020,1362158.5,1385646.625,1334219.875,1363430.5,1363430.5,3.17328E+12
24-11-2020,1363496.875,1432885.5,1340972.125,1413212.875,1413212.875,3.80676E+12
25-11-2020,1412987,1432784.125,1371111.125,1382251.625,1382251.625,3.22541E+12
26-11-2020,1382083.375,1392131.875,1206936.125,1266291.375,1266291.375,4.53315E+12
27-11-2020,1266534.25,1288080.625,1223648.75,1264934.5,1264934.5,2.87513E+12
28-11-2020,1265269.625,1320521.125,1250753.25,1310423.375,1310423.375,2.41125E+12
29-11-2020,1310587.625,1352301.875,1298715.375,1344213.625,1344213.625,2.30234E+12
30-11-2020,1344275.625,1460409.875,1344275.625,1452322.5,1452322.5,3.53193E+12
01-12-2020,1452909.75,1461725.75,1349377.375,1385217,1385217,3.65651E+12
02-12-2020,1385124.625,1423786.75,1347150,1414407.125,1414407.125,2.75408E+12
03-12-2020,1414763.25,1444759,1397163.375,1437778.25,1437778.25,2.3609E+12
04-12-2020,1437894.25,1441099.75,1379825.75,1380015.625,1380015.625,2.49973E+12
05-12-2020,1379913.75,1414013.375,1371929.375,1413554.5,1413554.5,2.01045E+12
06-12-2020,1413550.75,1431076.625,1394637.125,1427727.5,1427727.5,1.86676E+12
07-12-2020,1427580.5,1432650.625,1397255.875,1416537,1416537,1.98522E+12
08-12-2020,1416529.5,1422506.5,1346952.625,1350741.875,1350741.875,2.33654E+12
09-12-2020,1350722.75,1374761,1319207.5,1369604.5,1369604.5,2.54083E+12
10-12-2020,1369559.125,1369559.125,1323462.625,1347820.25,1347820.25,1.88519E+12
11-12-2020,1347741.875,1348075.625,1300480,1331632.875,1331632.875,2.05875E+12
